Type,Lon,Lat,Altitude,Nb personnes,Boire,Cuisiner,Hygiene,Lessive,Commentaire,demand_l_day,is_household,is_reservoir,required_head_m,gravity_possible,pump_required
Menage,-11.43329439841342,10.97925197483575,376,6.0,24.0,18.0,24.0,12.0,,78.0,True,False,380,False,True
Menage,-11.43057887839636,10.98496333682762,357,10.0,40.0,30.0,60.0,50.0,,180.0,True,False,361,True,False
Menage,-11.43105973971312,10.9837680873326,361,7.0,28.0,28.0,56.0,28.0,,140.0,True,False,365,True,False
Menage,-11.43147794411438,10.97988922443061,370,5.0,10.0,25.0,45.0,15.0,,95.0,True,False,374,False,True
Menage,-11.42962415305564,10.98152054264557,363,5.0,20.0,15.0,20.0,20.0,,75.0,True,False,367,True,False
Menage,-11.43223360389873,10.98165679557314,368,4.0,8.0,16.0,40.0,12.0,,76.0,True,False,372,True,False
Menage,-11.43346749053032,10.98139749063916,370,8.0,24.0,32.0,56.0,32.0,,144.0,True,False,374,False,True
Menage,-11.43068622452621,10.98135673213928,366,7.0,21.0,28.0,28.0,14.0,,91.0,True,False,370,True,False
Menage,-11.4302604069808,10.98164375411877,364,7.0,28.0,21.0,28.0,14.0,,91.0,True,False,368,True,False
MenageI,-11.42930676070844,10.98138468287837,362,3.0,9.0,12.0,12.0,6.0,A exprimé un souhait pour de l'irrigation avec un champ de maïs de 0.02 ha,39.0,True,False,366,True,False
Menage,-11.43223110245911,10.97999838498073,372,10.0,20.0,40.0,90.0,50.0,,200.0,True,False,376,False,True
Menage,-11.42968989069825,10.98205015850667,362,8.0,32.0,24.0,64.0,24.0,,144.0,True,False,366,True,False
Menage,-11.43343015878945,10.98084063426667,372,5.0,10.0,25.0,45.0,25.0,,105.0,True,False,376,False,True
Menage,-11.43184666516287,10.98180157843458,367,5.0,10.0,15.0,25.0,10.0,,60.0,True,False,371,True,False
Menage,-11.42863899107435,10.98232165550295,359,5.0,15.0,20.0,35.0,15.0,,85.0,True,False,363,True,False
Menage,-11.43494158304006,10.98097990578223,371,5.0,15.0,20.0,40.0,10.0,,85.0,True,False,375,False,True
Menage,-11.43343816786244,10.98159547535619,369,6.0,18.0,18.0,48.0,30.0,,114.0,True,False,373,True,False
Menage,-11.43183783035308,10.98175451476056,367,6.0,18.0,30.0,48.0,30.0,,126.0,True,False,371,True,False
Menage,-11.42968190294099,10.98326216486599,360,5.0,15.0,20.0,50.0,25.0,,110.0,True,False,364,True,False
Menage,-11.4344382731905,10.98263804869529,366,7.0,28.0,28.0,56.0,14.0,,126.0,True,False,370,True,False
Menage,-11.4324620963365,10.98363959510209,363,5.0,10.0,15.0,40.0,15.0,,80.0,True,False,367,True,False
Menage,-11.43231483859016,10.98134290492337,369,6.0,12.0,24.0,36.0,12.0,,84.0,True,False,373,True,False
Menage,-11.43261044880554,10.98148229682996,369,6.0,12.0,30.0,42.0,18.0,,102.0,True,False,373,True,False
Menage,-11.43152646905528,10.97948720310486,371,7.0,21.0,28.0,56.0,14.0,,119.0,True,False,375,False,True
MenageI,-11.43060283172097,10.98114074159708,366,5.0,10.0,20.0,35.0,15.0,A exprimé un souhait pour de l'irrigation avec un champ de maïs de 0.03 ha,80.0,True,False,370,True,False
Menage,-11.43170154976905,10.98220450667088,366,6.0,24.0,30.0,36.0,24.0,,114.0,True,False,370,True,False
Menage,-11.43249548934325,10.98204693520226,367,6.0,24.0,24.0,36.0,24.0,,108.0,True,False,371,True,False
Menage,-11.43223704960719,10.98084597305941,370,3.0,6.0,9.0,21.0,15.0,,51.0,True,False,374,False,True
Menage,-11.43137387222976,10.98423969947021,360,7.0,14.0,21.0,28.0,28.0,,91.0,True,False,364,True,False
Menage,-11.43079156225138,10.98379656437056,360,4.0,16.0,20.0,40.0,16.0,,92.0,True,False,364,True,False
Menage,-11.43150105829009,10.98077141283103,369,9.0,27.0,36.0,36.0,18.0,,117.0,True,False,373,True,False
Menage,-11.43146414472614,10.98299258303072,363,10.0,40.0,30.0,40.0,40.0,,150.0,True,False,367,True,False
Menage,-11.43355257624089,10.98226289670388,367,8.0,24.0,40.0,72.0,32.0,,168.0,True,False,371,True,False
Menage,-11.42867078224575,10.98377494601006,356,5.0,15.0,20.0,50.0,25.0,,110.0,True,False,360,True,False
Menage,-11.4344993115692,10.98092739882838,372,4.0,12.0,20.0,40.0,16.0,,88.0,True,False,376,False,True
MenageI,-11.43076366417883,10.98251640661676,363,7.0,21.0,21.0,28.0,28.0,A exprimé un souhait pour de l'irrigation avec un champ de manioc de 0.03 ha,98.0,True,False,367,True,False
Menage,-11.44602438974798,10.99139442456864,350,6.0,18.0,18.0,48.0,18.0,,102.0,True,False,354,True,False
Menage,-11.44440999860436,10.98917537353979,350,4.0,8.0,12.0,36.0,20.0,,76.0,True,False,354,True,False
Menage,-11.44771639889979,10.99241539684241,350,6.0,24.0,30.0,54.0,30.0,,138.0,True,False,354,True,False
Menage,-11.44247866098579,10.99210575653106,351,3.0,9.0,15.0,18.0,15.0,,57.0,True,False,355,True,False
Menage,-11.44260027910892,10.9910905946698,350,9.0,36.0,27.0,90.0,45.0,,198.0,True,False,354,True,False
Menage,-11.4476704085163,10.99140187682933,350,5.0,20.0,25.0,20.0,25.0,,90.0,True,False,354,True,False
Menage,-11.44441793116987,10.99287250956808,350,7.0,21.0,21.0,42.0,35.0,,119.0,True,False,354,True,False
Menage,-11.44223077953025,10.99222006811208,352,5.0,10.0,15.0,35.0,10.0,,70.0,True,False,356,True,False
Menage,-11.44374080778272,10.9916720107959,350,6.0,18.0,24.0,30.0,24.0,,96.0,True,False,354,True,False
Menage,-11.44089217359898,10.98860107421428,350,6.0,12.0,30.0,54.0,30.0,,126.0,True,False,354,True,False
Menage,-11.44192775143742,10.99260109562857,353,5.0,20.0,15.0,35.0,20.0,,90.0,True,False,357,True,False
Menage,-11.44170690218341,10.99595790993303,355,10.0,20.0,30.0,70.0,40.0,,160.0,True,False,359,True,False
Menage,-11.44309813417475,10.99274657265393,350,7.0,14.0,35.0,56.0,14.0,,119.0,True,False,354,True,False
Menage,-11.44401167507533,10.9948157760636,350,9.0,18.0,36.0,45.0,45.0,,144.0,True,False,354,True,False
Menage,-11.44700035060255,10.99077893313859,350,8.0,32.0,32.0,56.0,24.0,,144.0,True,False,354,True,False
Menage,-11.44244762824082,10.98963748619842,350,6.0,24.0,18.0,42.0,12.0,,96.0,True,False,354,True,False
Menage,-11.44437752614719,10.9900776481568,350,9.0,18.0,45.0,45.0,27.0,,135.0,True,False,354,True,False
MenageI,-11.44367345631935,10.99114658106366,350,4.0,8.0,16.0,20.0,16.0,A exprimé un souhait pour de l'irrigation avec un champ de mil de 0.03 ha,60.0,True,False,354,True,False
Menage,-11.44404092468954,10.99125304859309,350,5.0,15.0,25.0,35.0,20.0,,95.0,True,False,354,True,False
Menage,-11.44433693144844,10.98748192051227,350,3.0,6.0,15.0,15.0,6.0,,42.0,True,False,354,True,False
Menage,-11.44323635604934,10.99268916194117,350,5.0,15.0,15.0,35.0,10.0,,75.0,True,False,354,True,False
Menage,-11.44436274992295,10.99387411675235,350,6.0,12.0,24.0,42.0,18.0,,96.0,True,False,354,True,False
Menage,-11.44427072984078,10.99205308283738,350,8.0,32.0,32.0,32.0,24.0,,120.0,True,False,354,True,False
Menage,-11.44258930175332,10.99122164828989,350,6.0,12.0,24.0,42.0,12.0,,90.0,True,False,354,True,False
Menage,-11.4482703355512,10.99063039873418,350,5.0,10.0,20.0,30.0,15.0,,75.0,True,False,354,True,False
